City Code,Province Code,Country Code,City Name,Province Name,Country Name
ABOHR,PB,IN,Abohar,Punjab,India
BALOD,CT,IN,Balod,Chhattisgarh,India
BELND,BR,IN,Belsand,Bihar,India
BASQY,PB,IN,Bassi,Punjab,India
BARHI,BR,IN,Barhiya,Bihar,India
BAIME,OR,IN,Balimela,Odisha,India
BAJBA,WB,IN,Baj Baj,West Bengal,India
BADNR,MP,IN,Badnawar,Madhya Pradesh,India
ASRGN,BR,IN,Asarganj,Bihar,India
BANPU,OR,IN,Banapur,Odisha,India
CERTH,KL,IN,Cherthala,Kerala,India
CHPRA,BR,IN,Chhapra,Bihar,India
CHIDW,MP,IN,Chhindwara,Madhya Pradesh,India
CHADU,MH,IN,Chandur,Maharashtra,India
CHAUR,AP,IN,Chandur,Andhra Pradesh,India
CHANU,TG,IN,Chandur,Telangana,India
CKWAL,PB,PK,Chakwal,Punjab,Pakistan
CHLKU,KL,IN,Chalakudy,Kerala,India
CLSGN,MH,IN,Chalisgaon,Maharashtra,India
CHKDA,CT,IN,Chhuikhadan,Chhattisgarh,India
CHRAN,MP,IN,Chitrakoot,Madhya Pradesh,India
DAHNU,MH,IN,Dahanu,Maharashtra,India
DABRA,MP,IN,Dabra,Madhya Pradesh,India
DABRA,PA,ID,Dabra,Papua,Indonesia
DARLI,WB,IN,Darjiling,West Bengal,India
BLHAN,OR,IN,Darpanigarh,Odisha,India
DRWHA,MH,IN,Darwha,Maharashtra,India
