City Code,Province Code,Country Code,City Name,Province Name,Country Name
MACON,34,IT,Marcon,Veneto,Italy
CDBAG,VT,IT,Civita di Bagnoregio,Viterbo,Italy
BUIGE,WLG,BE,Bullingen,Liege,Belgium
XIGAR,PA,BR,Xinguara,Para,Brazil
TERAF,BA,BR,Teixeira de Freitas,Bahia,Brazil
ALNSG,GO,BR,Aguas Lindas de Goias,Goias,Brazil
ANOST,D,FR,Anost,Bourgogne,France
MNTHA,V,FR,Montricher-Albanne,Rhone-Alpes,France
MEMON,J,FR,Mons-en-Montois,Ile-de-France,France
LBGDO,V,FR,Le Bourg-d'Oisans,Rhone-Alpes,France
RAYVM,AP,IN,Rayavaram,Andhra Pradesh,India
PUBAM,WB,IN,Purba Madhabpur,West Bengal,India
KNGLM,TN,IN,Karimangalam,Tamil Nadu,India
ALMUR,AP,IN,Alamuru,Andhra Pradesh,India
PARGI,TG,IN,Parigi,Telangana,India
RDAPU,UP,IN,Rudrapur,Uttar Pradesh,India
ETVAL,CA,US,Eastvale,California,United States
SWLMN,KY,US,South Williamson,Kentucky,United States
MVALE,ENG,GB,Maida Vale,England,United Kingdom
WITRE,ENG,GB,Wiltshire,England,United Kingdom
KNTJQ,ENG,GB,Kent,England,United Kingdom
KIMSD,ENG,GB,Kilmersdon,England,United Kingdom
HIOKA,27,JP,Higashiosaka,Osaka,Japan
KASUY,40,JP,Kasuya,Fukuoka,Japan
CORNA,GA,ES,A Coruna,Galicia,Spain
LASRO,SS,ES,Lasarte-Oria,Gipuzkoa,Spain
LEIRO,GA,ES,Leiro,Galicia,Spain
SRTFD,TKI,NZ,Stratford,Taranaki,New Zealand
YOZHU,43,CN,Yongzhou,Hunan,China
BAONG,42,CN,Badong,Hubei,China
HONGU,42,CN,Honghu,Hubei,China
