City Code,Province Code,Country Code,City Name,Province Name,Country Name
HYDER,TG,IN,Hyderabad,Telangana,India
BENAU,KA,IN,Bengaluru,Karnataka,India
CENAI,TN,IN,Chennai,Tamil Nadu,India
PUNCH,JK,IN,Punch,Jammu and Kashmir,India
KLRAI,TN,IN,Keelakarai,Tamil Nadu,India
CAVTR,72,IT,Casavatore,Campania,Italy
VOLLA,72,IT,Volla,Campania,Italy
BEAIM,45,IT,Bellaria-Igea Marina,Emilia-Romagna,Italy
SPAIT,14,JM,Spanish Town,Saint Catherine,Jamaica
SANLM,10,JM,Savanna-la-Mar,Westmoreland,Jamaica
PORTE,14,JM,Portmore,Saint Catherine,Jamaica
OHABR,14,JM,Old Harbour,Saint Catherine,Jamaica
NKIST,02,JM,New Kingston,Saint Andrew,Jamaica
MONGB,08,JM,Montego Bay,Saint James,Jamaica
MAYPE,13,JM,May Pen,Clarendon,Jamaica
MANIE,12,JM,Mandeville,Manchester,Jamaica
LINST,14,JM,Linstead,Saint Catherine,Jamaica
KINGO,01,JM,Kingston,Kingston,Jamaica
HWTRE,02,JM,Half Way Tree,Saint Andrew,Jamaica
